sku,name,price,link
00020097,"
                                    Куртка Turbat Petros Pro Mns                                ",10 495 грн,https://www.gorgany.com/kurtka-turbat-petros-pro-mns.html
00009561,"
                                    Куртка Mountain Equipment Lightline Down Jacket                                ",14 646 грн,https://www.gorgany.com/kurtka-mountain-equipment-lightline-down-jacket.html
00011660,"
                                    Пухова куртка Turbat Trek Mns                                ",6 195 грн,https://www.gorgany.com/puhova-kurtka-turbat-trek-mns.html
00013893,"
                                    Куртка Turbat Fluger 2 Mns                                ",3 495 грн,https://www.gorgany.com/kurtka-turbat-fluger-2-mns.html
00016059,"
                                    Куртка Turbat Alay Mns                                ",10 995 грн,https://www.gorgany.com/kurtka-turbat-alay-mns.html
00016062,"
                                    Куртка Turbat Isla Wmn                                ",4 595 грн,https://www.gorgany.com/kurtka-turbat-isla-wmn.html
00019662,"
                                    Куртка Mountain Equipment Frostline                                ",10 033 грн,https://www.gorgany.com/kurtka-mountain-equipment-frostline.html
00016063,"
                                    Куртка Turbat Reva Mns                                ",5 350 грн,https://www.gorgany.com/kurtka-turbat-reva-mns.html
00013894,"
                                    Куртка Turbat Fluger 2 Wmn                                ",3 495 грн,https://www.gorgany.com/kurtka-turbat-fluger-2-wmn.html
00021182,"
                                    Куртка Salewa Puez PTX 2L Mns                                ",7 245 грн,https://www.gorgany.com/kurtka-salewa-puez-ptx2l-mns.html
00022110,"
                                    Куртка Salewa Puez GTX Paclite Mns                                ",10 995 грн,https://www.gorgany.com/salewa-puez-gtx-paclite-mns.html
00012329,"
                                    Пухова куртка Turbat Trek Wms                                ",6 195 грн,https://www.gorgany.com/puhova-kurtka-turbat-trek-wms.html
00016061,"
                                    Куртка Turbat Isla Mns                                 ",4 595 грн,https://www.gorgany.com/kurtka-turbat-isla-mns.html
00016060,"
                                    Куртка Turbat Alay Wmn                                ",10 995 грн,https://www.gorgany.com/kurtka-turbat-alay-wmn.html
00016065,"
                                    Куртка Turbat Trek Pro Mns                                ",6 950 грн,https://www.gorgany.com/kurtka-turbat-trek-pro-mns.html
00016064,"
                                    Куртка Turbat Reva Wmn                                ",5 350 грн,https://www.gorgany.com/kurtka-turbat-reva-wmn.html
00019719,"
                                    Куртка Mountain Equipment Senja                                ",11 207 грн,https://www.gorgany.com/kurtka-mountain-equipment-senja.html
00014799,"
                                    Куртка Salewa Aqua Wmn 3.0                                ",4 625 грн,https://www.gorgany.com/kurtka-salewa-aqua-wmn-3-0-2019.html
00019834,"
                                    Куртка Mountain Equipment Frostline Wmns                                ",9 268 грн,https://www.gorgany.com/kurtka-mountain-equipment-frostline-wmns.html
